lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ wird entwickelt von Jean Lalonde unter`nVerwendung der <a href="http://ahkscript.org/">AutoHotkey</a> Programmiersprache.`n`nDeutsche Übersetzung: Edgar "Fast Edi" Hoffmann`nFranzösische Übersetzung: Jean Lalonde`nHolländische Übersetzung: Pieter Dejonghe`Koreanisch Übersetzung: Om Il-Sung`nSchwedisch Übersetzung: Åke Engelbrektson`nItalienische Übersetzung: Riccardo Leone`nSpanish translation: kiketrucker`nEnglische Gegenleser: (Hilfe willkommen)`n`nIcons von: <a href="http://www.visualpharm.com">Visual Pharm</a>`nProgramm installieren: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> von jrsoftware.org`nAutoHotkey_L v1.1 Sourcen: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Support unter <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	Über - ~1~ ~2~
lAppTagline	Eine schnelle Möglichkeit des Wechsels zwischen Dokumenten und Verzeichnissen!
lDiagModeCaution	~1~ läuft im Diagnose-Modus.`n`nInformationen über die Anwendungsausführung werden in der Datei:`n~2~`n gesammelt`nEs wird nichts ohne Ihr Einverständnis versendet.`n`nWollen Sie den Diagnose-Modus beibehalten?
lDiagModeExit	~1~ gesammelte Diagnose-Informationen in Datei ~2~.
lDiagModeIntro	Schicken Sie diese Datei an ahk@jeanlalonde.ca mit einer Beschreibung der Situation, welche die Diagnose ausgelöst hat.
lDiagModeSee	Wollen Sie die Diagnosedatei sehen?
lDialogAdd	Hinzufügen
lDialogAddEditFavoriteTitle	~1~ Favoriten - ~2~ ~3~
lDialogAddFileSelect	Neue Datei wählen:
lDialogAddFolderManuallyPrompt	Entschuldigung, der aktuelle Ordner kann in diesem Fenstertyp nicht ermittelt werden.`n`nWollen Sie es jetzt von Hand hinzufügen?
lDialogAddFolderManuallyTitle	Diesen Dokumente hinzufügen - ~1~ ~2~
lDialogAddFolderSelect	Auswählen oder Erstellen des neuen Ordners:
lDialogApplicationLabel	Anwendung
lDialogApplicationShortName	Anwendungsname (für Menü)
lDialogArgumentsLabel	Parameter
lDialogBrowseButton	Durchsuchen
lDialogCancelButton	Abbrechen
lDialogCancelPrompt	Änderungen verwerfen?
lDialogCancelTitle	Abbrechen - ~1~ ~2~
lDialogEdit	Bearbeiten
lDialogEndOfMenu	Ende des Menüs
