lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ ha sido desarrollado por Jean Lalonde`nsobre la plataforma <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraducción al español: kiketrucker`nTraducción al Francés: Jean Lalonde`nTraducción al alemán: Edgar ""Fast Edi"" Hoffmann`nTraducción al holandés: Pieter Dejonghe`nTraducción al coreano: Om Il-Sung`nTraducción al sueco: Åke Engelbrektson`nTraducción al italiano: Riccardo Leone`nTraducción al portugués brasileño: Igor Ruckert`nRevisión del ingles: (bienvenida la ayuda)`n`nIconos por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nInstalador: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nSources AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Gratuiciel.
lAboutText4	Soporte en línea: <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	Acerca de - ~1~ ~2~
lAppTagline	Accede de un vistazo a tus favoritos y carpetas!
lCopyLocationCopiedToClipboard	Ubicación copiada al Portapapeles
lDiagModeCaution	~1~ función en modo diagnóstico.`n`nLa información acerca de la ejecución de esta aplicación será recogida en el archivo:`n~2~`n`nNinguna información será transmitida sin su consentimiento.`n`nDesea continuar en modo diagnóstico?
lDiagModeExit	~1~ tiene información recopilada para fines de diagnóstico en el archivo ~2~.
lDiagModeIntro	Enviar este fichero a ahk@jeanlalonde.ca con una descripción de la situación que requiere un diagnóstico.
lDiagModeSee	Quiere consultar el fichero de diagnóstico?
lDialogAdd	Añadir
lDialogAddEditFavoriteTitle	~1~ un favorito - ~2~ ~3~
lDialogAddFileSelect	elegir un nuevo documento:
lDialogAddFolderManuallyPrompt	Lo sentimos, no podemos detectar automáticamente la carpeta actual en este tipo de ventana.`n`nQuiere añadir este fichero manualmente?
lDialogAddFolderManuallyTitle	Agregar carpeta - ~1~ ~2~
lDialogAddFolderSelect	Elegir donde crear una nueva carpeta:
lDialogApplicationLabel	Aplicación
lDialogApplicationShortName	Nombre de la aplicación (para los menús)
lDialogArgumentsLabel	Parámetros
lDialogBrowseButton	Revisar
lDialogCancelButton	Anular
lDialogCancelPrompt	Anular los cambios?
lDialogCancelTitle	Anular - ~1~ ~2~
lDialogEdit	Modificar
lDialogEndOfMenu	fin del menú
lDialogFavoriteDoesNotExistPrompt	Favorito "~1~" no existe o no está disponible.`n`nSi este favorito está en una unidad de red, por favor inténtalo de nuevo después de la autenticación de red.`n`nSi uno de los favoritos es un enlace a una página web, elegir la opción "Link (URL)" Cuando se agrega un favorito.
