lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ est développé par Jean Lalonde`nsur la plateforme <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraduction française: Jean Lalonde`nTraduction allemande: Edgar ""Fast Edi"" Hoffmann`nTraduction néerlandaise: Pieter Dejonghe`nRévision anglaise: (aide bienvenue)`n`nIcônes par: <a href="http://www.visualpharm.com">Visual Pharm</a>`nSources AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Gratuiciel.
lAboutText4	Soutien en ligne: <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	À propos - ~1~ ~2~
lAppTagline	Navigez en un clin d'oeil parmi vos dossiers et documents favoris!
lDiagModeCaution	~1~ roule en mode de diagnostique.`n`nDes renseignements à propos de l'exécution de cette application seront colligées dans le fichier:`n~2~`n`nAucune information ne sera transmise sans votre consentement.`n`nVoulez-vous rester en mode diagnostique?
lDiagModeExit	~1~ a colligé des renseignements à des fins de diagnostique dans le fichier ~2~.
lDiagModeIntro	Envoyez ce fichier à ahk@jeanlalonde.ca avec une description de la situation nécessitant un diasnostique.
lDiagModeSee	Voulez-vous consulter le fichier de diagnostique?
lDialogAdd	Ajouter
lDialogAddDialogAlready	Ce type de boîte de dialogue est déjà pris en charge.
lDialogAddDialogPrompt	Entrez le nom de la nouvelle boîte de dialogue`n(ou une partie du nom):
lDialogAddDialogTitle	Ajouter Boîte de dialogue - ~1~ ~2~
lDialogAddEditFolderTitle	~1~ un favori - ~2~ ~3~
lDialogAddFileSelect	Choisir un nouveau document:
lDialogAddFolderManuallyPrompt	Désolé, nous ne pouvons détecter automatiquement le dossier actif dans ce type de fenêtre.`n`nVoulez-vous ajouter ce dossier manuellement?
lDialogAddFolderManuallyTitle	Ajouter un dossier - ~1~ ~2~
lDialogAddFolderSelect	Choisir ou créer un nouveau dossier:
lDialogBrowseButton	Parcourir
lDialogCancelButton	Annuler
lDialogCancelPrompt	Annuler les changements?
lDialogCancelTitle	Annuler - ~1~ ~2~
lDialogEdit	Modifier
lDialogEditDialogPrompt	Entrez le nouveau nom de la boîte de dialogue`n(ou une partie du nom):
lDialogEditDialogTitle	Modifier Boîte de dialogue - ~1~ ~2~
lDialogFavoriteDoesNotExistPrompt	Le favori "~1~" n'existe pas ou n'est pas disponible.`n`nSi ce favori réside sur un lecteur réseau, veuillez essayer à nouveau après l'authentification réseau.`n`nSi un favori est un lien vers une page web, choisissez l'option "Lien (URL)" lorsque vous ajoutez le favori.
lDialogFavoriteDoesNotExistTitle	Favori introuvable - ~1~
lDialogFileLabel	Document
lDialogFileShortName	Nom du document (pour les menus)
lDialogFolderLabel	Dossier
lDialogFolderLocationEmpty	L'emplacement est vide. Veuillez indiquer l'emplacement du dossier.
lDialogFolderNameEmpty	Le nom du favori est vide. Veuillez indiquer un nom court pour ce favori.
lDialogFolderNameNoSeparator	Le nom du sous-menu ne doit pas inclure le caractère réservé "~1~".
lDialogFolderNameNotNew	Le nom "~1~" est déjà présent dans ce menu. Veuillez choisir un nouveau nom.
lDialogFolderParentMenu	Menu contenant ce favori
lDialogFolderRemovePrompt	Supprimer le sous-menu "~1~"`net TOUT son contenu (dossiers et sous-menus)?
lDialogFolderRemoveTitle	Supprimer un favori - ~1~
lDialogFolderShortName	Nom court du dossier pour les menus
lDialogInvalidHotkey	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée comme un déclencheur pour le menu popup.`n`nVeuillez ouvrir la fenêtre "Paramètres de ~2~" dans la zone de notification et cliquez sur "Options". Dans cette boîte de dialogue, choisissez une autre touche de raccourci pour "~3~".
lDialogOpenThisMenu	Ouvrir ce menu
lDialogSave	Enregistrer
lDialogSelectItemToEdit	Veuillez sélectionner l'item à modifier.
lDialogSelectItemToRemove	Veuillez sélectionner l'item à supprimer.
lDialogSubmenuLabel	Sous-menu
lDialogSubmenuNameEmpty	Le nom du sous-menu est vide. Veuillez indiquer un nom court pour ce dossier.
lDialogSubmenuParentMenu	Menu contenant ce sous-menu
lDialogSubmenuShortName	Nom court du sous-menu
lDialogURLLabel	Lien (URL)
lDialogURLShortName	Nom court de ce lien
lDonateButton	Soutenez ce gratuiciel!
lDonateCheckPrompt	Vous aimez ~1~?`n`n~1~ n'est pas seulement GRATUIT mais aussi distribué SANS ces attrapes publicitaires dont on ne sait jamais si elles transportent des virus ou encore des logiciels espions ou malveillants.`n`nCela fait maintenant ~2~ fois que ~1~ est appelé pour faciliter votre travail quotidien. Que diriez-vous de soutenir ce gratuiciel à votre tour?
lDonateCheckTitle	~1~ fois! - ~2~
lDonateMenu	&Soutenez ce gratuiciel!
lDonatePlatformComment1	La façon la plus flexible avec votre compte PayPal ou votre carte de crédit
lDonatePlatformComment2	Recevez une facture officielle si vous en avez besoin pour un remboursement
lDonatePlatformComment3	Vous voulez en apprendre plus à propos des <a href="~1~">microdons</a>?
lDonatePlatformName1	Avec Paypal
lDonatePlatformName2	Avec Share-it
lDonatePlatformName3	Avec Flattr
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Soutenez le développement de ~1~ !
lDonateText2	<a href="~1~">Pourquoi soutenir ce gratuiciel?</a>
lDonateText3	... ou soutenez ce gratuiciel gratuitement !
lDonateText4	Rédigez un avis favorable à ~1~ sur :
lDonateText5	Envoyez-moi votre lien
lDonateThankyou	Merci pour cette marque d'appréciation!
lDonateTitle	Soutenez ce gratuiciel! - ~1~ ~2~
lGui2Close	Fermer
lGuiAbout	À propos
lGuiAddDialog	Ajouter
lGuiAddFolder	Ajouter
lGuiCancel	Annuler
lGuiClose	Fermer
lGuiDonate	Soutien
lGuiDropFilesIncentive	Vous pouvez glisser-déposer vos favoris sur cette fenêtre!
lGuiEditFolder	Modifier
lGuiHelp	Aide
lGuiLvDialogsHeader	Boîtes de dialogue prises en charge`n(une partie du nom suffit)
lGuiLvFoldersHeader	Nom|Emplacement
lGuiMoveFolderDown	En bas
lGuiMoveFolderUp	En haut
lGuiOptions	Options
lGuiRemoveFolder	Supprimer
lGuiSave	Enregistrer
lGuiSeparator	Séparation
lGuiSubmenuDropdownLabel	Menu à modifier:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Paramètres - ~1~ ~2~
lHelpText1	Au lancement de FoldersPopup, une icône attend vos ordres dans la zone de Notifications. Lorsque vous voudrez changer de dossier dans l'Explorateur de fichier Windows ou dans une boîte de dialogue de fichiers, vous n'aurez qu'à appuyer sur le bouton central de la souris ou sur la touche Windows-K pour qu'un menu popup affiche vos dossiers préférés. Cliquez le dossier désiré et FoldersPopup vous y mènera instantanément ! Ou encore ouvrez-y rapidement un document ou une page web.
lHelpText2	Choisissez "Paramètres" pour ouvrir la boîte de configuration de FoldersPopup où vous pourrez ajouter à votre menu des DOSSIERS, des DOCUMENTS ou des LIENS. Vous pourrez ensuite les effacer, déplacer ou renommer. Vous pourrez aussi ajouter, déplacer, renommer ou effacer des SOUS-MENUS. Choisissez le "Menu à modifier:" dans la liste déroulante. Cliquez sur "Enregistrer" pour sauvegarder vos modifications.
lHelpText3	Pour ajouter rapidement un DOSSIER à votre menu:`n1) Allez dans un dossier fréquemment utilisé.`n2) Cliquez sur le bouton central de la souris (Windows-K) et choisissez "Ajouter ce dossier".`n3) Attribuez un nom court à ce dossier, cliquez "Ajouter", puis "Enregistrer" dans la fenêtre des paramètres.
lHelpText4	Pour ajouter à votre menu un DOCUMENTS ou un LIEN WEB:`n1) Ouvrez le menu de Folders Popup et choisissez "Paramètres" (Maj-Windows-F).`n2) Cliquez sur le bouton "Ajouter" et choisissez l'option "Document" ou "Lien (URL)".`n3) Attribuez un nom court à ce favori, indiquez l'emplacement du document (bouton "Parcourir") ou l'adresse URL du lien, cliquez sur "Ajouter" et "Enregistrer" dans la fenêtre des paramètres.
lHelpText5	TRUCS ET ASTUCES`n- Dans la zone de Notifications, sélectionnez l'option "Exécuter au démarrage" pour lancer FoldersPopup automatiquement au lancement de Windows.`n- Besoin d'un dossier dans un nouvel Explorateur? Appuyez simplement sur Maj-Bouton central de la souris (ou Maj-Windows-K). Cette action permet aussi d'ouvrir un dossier depuis n'importe quelle fenêtre.`n- Choisissez le menu "Emplacements récents..." (Maj-Windows-R) pour afficher une version à jour des dossiers récents de Windows.`n- Choisissez les combinaisons de bouton de la souris et de touches du clavier qui ouvrent le menu popup dans les  "Paramètres, Options".`n- Aussi dans les "Options": choisissez votre langue d'utilisation, la taille des icônes de menu, les couleurs des fenêtres. Décidez d'afficher le menu des Emplacements récents, les raccourcis clavier numériques ou fixez le menu popup à une position de votre choix.`n-Utilisateurs de Directory Opus, consultez <a href="http://code.jeanlalonde.ca/folders-popup-now-compatible-with-directory-opus/">cette page</a> (en anglais) pour des renseignements additionnels.
lHelpText6	Le soutien sur FoldersPopup est disponible à <a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a> (en français ou en anglais).
lHelpText7	~1~ Jean Lalonde 2013-2014. Gratuiciel.
lHelpTextLead	Avec FoldersPopup, navigez en un clin d'oeil parmi vos dossiers, pages web et documents favoris!
lHelpTitle	Aide - ~1~ ~2~
lMainMenuName	Principal
lMenuAbout	À propos
lMenuAddThisDialog	Prendre en charge ce type de boîte de dialogue
lMenuAddThisFolder	&Ajouter ce dossier au menu
lMenuControlPanel	Panneau de configuration
lMenuDesktop	Bureau
lMenuDialogNotSupported	Ce type de boîte de dialogue n'est pas encore pris en charge
lMenuDocuments	Documents
lMenuExitFoldersPopup	Quitter ~1~
lMenuHelp	Aide
lMenuMyComputer	Ordinateur
lMenuNetworkNeighborhood	Réseau
lMenuPictures	Images
lMenuRecentFolders	&Emplacements récents
lMenuRecentFoldersShortcut	E
lMenuRecycleBin	Corbeille
lMenuRefreshRecent	Actualisation des dossiers récents en cours
lMenuReservedShortcuts	DEBPA
lMenuReservedShortcutsDonate	S
lMenuRunAtStartup	Exécuter au démarrage
lMenuSeparator	----------------
lMenuSettings	&Paramètres de ~1~
lMenuSpecialExplorer	Fenêtre spéciale de l'Explorateur
lMenuSpecialFolders	&Dossiers spéciaux
lMenuSuspendHotkeys	Suspendre les déclencheurs (Hotkeys)
lMenuSwitch	&Basculer
lMenuSwitchDialog	Basculer dans cette &boîte de dialogue
lMenuSwitchExplorer	Basculer vers l'&Explorateur
lMenuUpdate	Mettre à jour
lNavigateFileError	Une erreur s'est produite lors de l'ouverture du dossier:`n~1~.
lNavigateSpecialError	Une erreur s'est produite lors de l'ouverture du dossier spécial #~1~.
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Il semble que ~1~ a été lancé depuis un dossier en ÉCRITURE SEULEMENT où il est impossible de créer le fichier de configuration "~1~.ini".`n`nDéplacez le fichier .EXE de ~1~ dans un dossier RÉGULIER de votre choix, puis exécutez l'application à nouveau depuis ce dossier.`n`n~1~ va être fermé.
lOopsWrongDirectoryOpusPath	Chemin ou nom de fichier de Directory Opus invalide dans ~1~.ini:`n"~2~"`n`nEntrez le chemin complet et le nom du fichier exécutable de Directory Opus, par exemple (sans les guillemets):`n"DirectoryOpusPath=C:\Program Files\GPSoftware\Directory Opus\dopus.exe"
lOopsZipFileError	Il semble que ~1~ a été lancé directement depuis un fichier compressé (ZIP).`n`nVous devez extraire le fichier .EXE de ~1~ du fichier ZIP dans un dossier de votre choix, puis exécuter l'application à nouveau depuis ce dossier.`n`n~1~ va être fermé.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Choisissez le bouton de la SOURIS et la touche de combinaison qui ouvrira le menu popup dans l'Explorateur de fichier de Windows ou dans des boîtes de dialogue de fichier. Par défaut, il s'agit du bouton central de la souris (MButton) sans touche de modification.
lOptionsArrDescriptions2	Choisissez le bouton de la SOURIS et la touche de combinaison qui ouvrira le menu popup dans N'IMPORTE QUELLE fenêtre et ouvrira le dossier sélectionné dans une NOUVELLE fenêtre de l'Explorateur de fichiers. Par défaut, il s'agit du bouton central de la souris (MButton) avec la touche de modification Maj (Shift).
lOptionsArrDescriptions3	Choisissez la combinaison de touches du CLAVIER qui ouvrira le menu popup dans l'Explorateur de fichier de Windows ou dans des boîtes de dialogue de fichier. Par défaut, il s'agit de la combinaisons Win-K (la lettre K pendant que la touche Windows est pressée).
lOptionsArrDescriptions4	Choisissez la combinaison de touches du CLAVIER qui ouvrira le menu popup dans N'IMPORTE QUELLE fenêtre et ouvrira le dossier sélectionné dans une NOUVELLE fenêtre de l'Explorateur de fichiers. Par défaut, il s'agit de la combinaisons Maj-Win-K (la lettre K pendant que les touches Windows et Maj sont presséee).
lOptionsArrDescriptions5	Choisissez la combinaison de touches du clavier ou le bouton de la souris qui ouvrira la boîte de dialogue Paramètres de FoldersPopup. Par défaut, il s'agit de Maj+Windows+F.
lOptionsChangeHotkey	Modifier
lOptionsChangeHotkeyTitle	Modification de déclencheur - ~1~ ~2~
lOptionsCtrl	Ctrl
lOptionsDisplayIcons	Afficher les icônes des menus
lOptionsDisplayMenuShortcuts	Afficher les raccourcis numériques
lOptionsDisplayRecentFolders	Afficher les emplacements récents
lOptionsDisplaySpecialFolders	Afficher les dossiers spéciaux
lOptionsDisplaySwitchMenu	Afficher les menus Basculer
lOptionsGuiIntro	Choisisr les boutons de la souris et les raccourcis du clavier déclenchant ~1~.
lOptionsGuiTitle	Options - ~1~ ~2~
lOptionsIconSize	Taille des icones de menu
lOptionsKeyboard	Clavier
lOptionsLanguage	Langue
lOptionsLanguageLabels	Anglais|Français|Allemand|Néerlandais
lOptionsMouse	Souris
lOptionsMouseButtonsText	Bouton de gauche de la souris|Bouton du milieu de la souris|Bouton de droite de la souris|Bouton spécial 1 de la souris|Bouton spécial 2 de la souris|Molette vers le haut|Molette vers le bas|Molette à gauche|Molette à droite|
lOptionsMouseCheckLButton	Vous ne pouvez pas attribuer le "Bouton de gauche de la souris" sans touche de modification.
lOptionsMouseNone	Aucun
lOptionsNoKeyOrMouseSpecified	Aucune touche du clavier ou bouton de la souris n'a été sélectionné. La sélection actuelle ~1~ est inchangée.
lOptionsOtherOptions	Autres options
lOptionsPopupFix	Menu popup à une position fixe
lOptionsPopupFixPositionX	Position X:
lOptionsPopupFixPositionY	Y:
lOptionsRecentFolders	Emplacements récents
lOptionsRunAtStartup	Exécuter au démarrage
lOptionsShift	Maj
lOptionsTheme	Thème
lOptionsTitles	Souris - Popup|Souris - Nouvel explorateur|Clavier - Popup|Clavier - Nouvel explorateur|Emplacements récents|Paramètres
lOptionsTrayTip	Afficher la notification au démarrage
lOptionsTriggerFor	Déclencheur pour:
lOptionsWin	Win
lReloadPrompt	Changement de ~1~ enregistré: ~2~. Voulez-vous relancer ~3~ en ~2~ maintenant? Les changements non sauvegardés dans le menu des dossiers seront perdus.
lTrayTipInstalledDetail	Pour afficher le menu de ~1~, appuyez sur:`n`n~2~ / ~3~`ndans un Explorateur de fichiers ou dans une boîte de dialogue`n`n~4~ / ~5~`npour ouvrir un nouvel Explorateur
lTrayTipinstalledTitle	~1~ ~2~ est prêt!
lTrayTipWorkingDetail	Préparation des menus
lTrayTipWorkingDetailFinished	Le menu a été mis à jour.
lTrayTipWorkingTitle	~1~ ~2~ se prépare...
lUpdateButtonRemind	Rappelez-moi
lUpdateError	Une erreur est survenue lors de la vérification du numéro de la plus récente version. La vérification de la mise à jour est interrompue.
lUpdatePrompt	Mettre à jour ~1~ de la version v~2~ à la version v~3~?
lUpdateTitle	Mettre à jour ~1~?
lUpdateYouHaveLatest	Vous avez la version la plus récente: ~1~.`n`nVisiter la page web de ~2~ quand même?
