lAboutText1	~1~ ~2~ (~3~ bit)
lAboutText2	~1~ è stato scritto da Jean Lalonde usando il linguaggio di programmazione`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraduzione in Italiano: Riccardo Leone`nTraduzione in Tedesco: Edgar "Fast Edi" Hoffmann`nTraduzione in Francese: Jean Lalonde`nTraduzione in Olandese: Pieter Dejonghe`nTraduzione in Coreano: Om Il-Sung`nTraduzione in Svedese:Åke Engelbrektson`nTraduzione in altre lingue: (se volete collaborare siete benvenuti)`nEnglish proof checking: (help welcomed)`n`nIcone realizzate da: <a href="http://www.visualpharm.com">Visual Pharm</a>`nProgramma di installazione: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> di jrsoftware.org`nAutoHotkey_L v1.1 (sorgenti): <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Supporto:  <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	Crediti - ~1~ ~2~
lAppTagline	Naviga come una scheggia tra le tue cartelle e i documenti più usati!
lDiagModeCaution	~1~ è in esecuzione in modalità diagnostica.`n`nLe informazioni sull'applicazione in esecuzione saranno raccolte nel file:`n~2~`n`nNulla verrà trasmesso senza il tuo consenso.`n`nVuoi mantenere attiva la modalità diagnostica?
lDiagModeExit	~1~ ha raccolto le informazioni per il debug nel file ~2~.
lDiagModeIntro	Invia questo file a: ahk@jeanlalonde.ca con una descrizione della situazione da diagnosticare.
lDiagModeSee	Vuoi visualizzare il file con le informazioni per il debug?
lDialogAdd	Aggiungi
lDialogAddDialogAlready	Questo tipo di Casella di Dialogo è già supportata.
lDialogAddDialogPrompt	Inserisci il nome della nuova Casella di Dialogo`n(o parte del nome):
lDialogAddDialogTitle	Aggiungi la Casella di Dialogo - ~1~ ~2~
lDialogAddEditFavoriteTitle	~1~ Preferito - ~2~ ~3~
lDialogAddFileSelect	Scegli il nuovo Documento:
lDialogAddFolderManuallyPrompt	Mi spiace, non riesco a trovare la cartella attuale in questo tipo di finestra.`n`nVuoi aggiungerla manualmente adesso?
lDialogAddFolderManuallyTitle	Aggiungi Questa Cartella - ~1~ ~2~
lDialogAddFolderSelect	Scegli o crea una nuova Cartella:
lDialogApplicationLabel	Applicazione
lDialogApplicationShortName	Nome dell'applicazione (per il menù)
lDialogArgumentsLabel	Parametri
lDialogBrowseButton	Sfoglia
lDialogCancelButton	Annulla
lDialogCancelPrompt	Vuoi scartare le modifiche?
lDialogCancelTitle	Annulla - ~1~ ~2~
lDialogEdit	Modifica
lDialogEditDialogPrompt	Inserisci il nome della nuova Casella di Dialogo`n(o parte del nome):
lDialogEditDialogTitle	Modifica la Casella di Dialogo - ~1~ ~2~
lDialogEndOfMenu	fine del menù
lDialogFavoriteDoesNotExistPrompt	Il Preferito "~1~" non esiste oppure non è disponibile.`n`nSe questo Preferito si trova su un disco di rete, si prega di riprovare dopo l'autenticazione di rete.`n`nSe il Preferito è un link ad una pagina web, seleziona l'opzione "Link (URL)" quando aggiungi il Preferito.
lDialogFavoriteDoesNotExistTitle	Il Preferito non esiste - ~1~
lDialogFavoriteLocationEmpty	La destinazione è vuota. Si prega di riprovare: scegli una destinazione non vuota.
lDialogFavoriteMenuPosition	Inserisci il nuovo Preferito prima di questo elemento
lDialogFavoriteNameEmpty	Il nome del Preferito non può essere vuoto. Per favore, scegli un nome.
lDialogFavoriteNameNoColumnBreak	Il nome del sottomenù non può cominciare con caratteri "~1~", riservati ad uso di indicatori di colonna.
lDialogFavoriteNameNoPipe	Il Preferito o il nome del sottomenù non può includere la "|" (barra verticale).
lDialogFavoriteNameNoSeparator	Il nome del sottomenù non può includere il carattere riservato "~1~".
lDialogFavoriteNameNotNew	Il nome "~1~" è già in uso in questo menù. Si prega di scegliere un altro nome.
lDialogFavoriteParentMenu	Scegli il menù in cui inserirlo
lDialogFavoriteRemovePrompt	Eliminare il sottomenù "~1~"`ne TUTTO il contenuto (cartelle e sottomenù)?
lDialogFavoriteRemoveTitle	Elimina il Preferito - ~1~
lDialogFavoritesParentMenuMove	Sposta i preferiti di ~1~ in questo menù.
lDialogFileLabel	Documento
lDialogFileShortName	Nome breve del Documento (voce menù)
lDialogFolderLabel	Cartella
lDialogFolderShortName	Nome breve della Cartella (voce menù)
lDialogGroupDelete	Elimina
lDialogGroupDeleteError	eliminare
lDialogGroupDeletePrompt	Eliminare il gruppo "~1~"?
lDialogGroupEdit	Modifica
lDialogGroupEditError	modificare
lDialogGroupLoad	Apri
lDialogGroupLoadError	aprire
lDialogGroupLoadErrorLoading	Errore nell'apertura delle finestre del Gruppo:`n`n"~1~"
