lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ wordt ontwikkeld door Jean Lalonde gebruik`nmakend van <a href="http://ahkscript.org/">AutoHotkey</a> programmeertaal.`n`nNederlandse vertaling: Pieter Dejonghe`nDuitse vertaling: Edgar "Fast Edi" Hoffmann`nFranse vertaling: Jean Lalonde`nKoreaanse vertaling: Om Il-Sung`nZweedse vertaling: Åke Engelbrektson`nItaliaanse vertaling: Riccardo Leone`nSpaanse vertaling:  kiketrucker`nBraziliaans Portugese vertaling: Igor Ruckert`nAndere talen: (hulp is welkom)`nCorrectie Engelse vertaling: (hulp is welkom)`n`nOntwerp icons: <a href="http://www.visualpharm.com">Visual Pharm</a>`nInstaller: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> van jrsoftware.org`nAutoHotkey_L v1.1 bronbestanden: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Ondersteuning via <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	Over... - ~1~ ~2~
lAppTagline	Spring direct naar een map of document!
lCopyLocationCopiedToClipboard	Pad of URL werd gekopiëerd naar het klembord
lDiagModeCaution	~1~ wordt momenteel uitgevoerd in diagnose-modus.`n`nInformatie over de uitvoering van de software wordt verzameld in het bestand:`n~2~`n`nNiets zal worden verzonden zonder uw toestemming.`n`nWil je de diagnose-modus AAN laten?
lDiagModeExit	~1~ heeft informatie voor foutdiagnose verzameld in het bestand ~2~.
lDiagModeIntro	Verstuur dit bestand naar ahk@jeanlalonde.ca met een beschrijving van de situatie die verder dient onderzocht te worden.
lDiagModeSee	Wil je het diagnosebestand bekijken?
lDialogAdd	Toevoegen
lDialogAddEditFavoriteTitle	~1~ Favoriet - ~2~ ~3~
lDialogAddFileSelect	Selecteer het nieuwe document:
lDialogAddFolderManuallyPrompt	Sorry, we kunnen de huidige map niet ontdekken in dit venstertype.`n`nWil je het handmatig toevoegen?
lDialogAddFolderManuallyTitle	Voeg deze map toe - ~1~ ~2~
lDialogAddFolderSelect	Kies of maak een nieuwe map:
lDialogApplicationLabel	Applicatie
lDialogApplicationShortName	Applicatienaam (voor in het menu)
lDialogArgumentsLabel	Parameters
lDialogBrowseButton	Bladeren
lDialogCancelButton	Annuleren
lDialogCancelPrompt	Wijzigingen negeren?
lDialogCancelTitle	Annuleren - ~1~ ~2~
lDialogEdit	Bewerken
lDialogEndOfMenu	einde van het menu
lDialogFavoriteDoesNotExistPrompt	De favoriet "~1~" bestaat niet of is niet beschikbaar.`n`nIndien deze favoriet zich op een netwerkschijf bevindt, probeer dan opnieuw na aanmelding op het netwerk.`n`nIndien een favoriet een link bevat naar een webpagina, kies dan de "Link (URL)" optie wanneer je de favoriet aanmaakt.
lDialogFavoriteDoesNotExistTitle	Favorite does not exist - ~1~
lDialogFavoriteLocationEmpty	Deze locatie is leeg. Kies alstublieft een locatie.
lDialogFavoriteMenuPosition	Voeg de nieuwe favoriet toe vóór het geselecteerde
lDialogFavoriteNameEmpty	De naam van de favoriet is leeg. Kies een naam...
lDialogFavoriteNameNoColumnBreak	De naam van het menu kan niet beginnen met de speciale tekens  "~1~" die gebruikt worden als scheiding tussen kolommen.
lDialogFavoriteNameNoPipe	De naam van de favoriet of menu mag het gereserveerde karakter "|" niet bevatten.
lDialogFavoriteNameNoSeparator	De naam voor een submenu mag het gereserveerde letterteken "~1~" niet bevatten.
lDialogFavoriteNameNotNew	De naam "~1~" is reeds in gebruik in dit menu. Kies alstublieft een andere naam.
lDialogFavoriteParentMenu	Favoriet hoofd menu
lDialogFavoriteRemovePrompt	Verwijder het submenu "~1~"`nen ALLE inhoud (mappen en submenu's)?
lDialogFavoriteRemoveTitle	Verwijder favoriet - ~1~
lDialogFavoritesParentMenuMove	Verplaats ~1~ favorieten naar dit menu
lDialogFileLabel	Document
lDialogFileShortName	Document naam (voor in het menu)
lDialogFolderLabel	Map
lDialogFolderShortName	Korte naam voor de map (voor in het menu)
lDialogGroupDelete	Verwijderen
lDialogGroupDeleteError	verwijderen
lDialogGroupDeletePrompt	Verwijder de groep "~1~"?
lDialogGroupDeleteTitle	Verwijder groep - ~1~
lDialogGroupEdit	Bewerken
lDialogGroupEditError	bewerken
lDialogGroupLoad	Laden
lDialogGroupLoadError	laden
lDialogGroupManageAbout	Over groepen
lDialogGroupManageCannotSave	Opgepast: Er is geen geopend venster wat je kan bewaren in een nieuwe groep. Open op zijn minst 1 venster van een Verkenner of Directory Opus en probeer opnieuw. 
lDialogGroupManageCreatingPrompt	Om een nieuwe groep aan te maken, klik de "~1~" knop of kies het "~2~" menu.
lDialogGroupManageCreatingTitle	Een groep aanmaken
lDialogGroupManageGroupsTitle	Groepen beheren - ~1~ ~2~
lDialogGroupManageIntro	Met "Groepen" kan je jouw werkruimte bewaren en terug oproepen. Op deze manier kan je makkelijk omschakelen. "Groepen" onthouden de map, grootte, positie en status (normaal, geminimaliseerd of gemaximaliseerd) van de Windows Verkenner of de Directory Opus vensters. Total Commander wordt nog niet ondersteund.
lDialogGroupManageManagingTitle	Groepen beheren
