lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	O ~1~ é escrito por Jean Lalonde usando a linguagem de programação`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTradução para o Alemão: Edgar "Fast Edi" Hoffmann`nTradução para o Francês: Jean Lalonde`nTradução para o Holandês: Pieter Dejonghe`nTradução para o Coreano: Om Il-Sung`nTradução para o Sueco:Åke Engelbrektson`nTradução pata o Italiano: Riccardo Leone`nTradução para o Espanhol: kiketrucker`nTraduzione in Portoghese (BR): Igor Rückert`nOutras traduções de idioma: (ajuda sempre bem-vinda)`nVerificação de prova em ingês: (help welcomed)`n`nÍcones por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nPrograma de instalação: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nFontes AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Suporte em <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	Sobre - ~1~ ~2~
lAppTagline	Mova rapidamente entre as pastas e documentos usados com frequência!
lDiagModeCaution	O ~1~ está sendo executado no modo de diagnóstico.`n`nSerão coletadas informações sobre a execução do aplicativo para o arquivo:`n~2~`n`nNada será enviado sem o seu consentimento.`n`nDeseja manter o modo de diagnóstico ATIVADO?
lDiagModeExit	O ~1~ coletou informações de diagnóstico para o arquivo ~2~.
lDiagModeIntro	Envie este arquivo para ahk@jeanlalonde.ca com uma descrição da situação que exige diagnóstico.
lDiagModeSee	Deseja ver o arquivo de diagnóstico?
lDialogAdd	Adicionar
lDialogAddEditFavoriteTitle	Favorito do ~1~ - ~2~ ~3~
lDialogAddFileSelect	Escolha o novo documento:
lDialogAddFolderManuallyPrompt	Desculpe, não detectamos a pasta atual neste tipo de janela.`n`nDeseja adicioná-la manualmente agora?
lDialogAddFolderManuallyTitle	Adicionar esta Pasta - ~1~ ~2~
lDialogAddFolderSelect	Escolha ou crie a nova pasta:
lDialogApplicationLabel	Aplicativo
lDialogApplicationShortName	Nome do aplicativo (para o menu)
lDialogArgumentsLabel	Parâmetros
lDialogBrowseButton	Procurar
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alterações?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogEdit	Editar
lDialogEndOfMenu	final do menu
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~" não existe ou não está disponível.`n`nSe este favorito está em uma unidade de rede, tente novamente depois da autenticação de rede.`n`nSe o favorito for um link para uma página da web, selecione a opção "Link (URL)" ao adicionar o favorito.
lDialogFavoriteDoesNotExistTitle	O favorito não existe - ~1~
lDialogFavoriteLocationEmpty	O local está vazio. Por favor, escolha um local.
lDialogFavoriteMenuPosition	Inserir o novo favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito está vazio. Por favor, escolha um nome.
lDialogFavoriteNameNoColumnBreak	O nome do submenu não pode iniciar com um dos caracteres reservados "~1~" usados como indicadores de quebra de coluna.
lDialogFavoriteNameNoPipe	O nome do favorito ou submenu não pode incluir o caractere reservado "|" (barra vertical).
lDialogFavoriteNameNoSeparator	O nome do submenu não pode incluir o caractere reservado "~1~".
lDialogFavoriteNameNotNew	O nome "~1~" já está em uso neste menu. Por favor, escolha um novo nome.
lDialogFavoriteParentMenu	Menu pai do favorito
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO seu conteúdo (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoritesParentMenuMove	Mover favoritos do ~1~ para este menu
lDialogFileLabel	Documento
lDialogFileShortName	Nome do documento (para o menu)
lDialogFolderLabel	Pasta
lDialogFolderShortName	Nome curto da pasta (para o menu)
lDialogGroupDelete	Excluir
lDialogGroupDeleteError	excluir
lDialogGroupDeletePrompt	Excluir o grupo "~1~"?
lDialogGroupEdit	Editar
lDialogGroupEditError	editar
lDialogGroupLoad	Carregar
lDialogGroupLoadError	carregar
lDialogGroupLoadErrorLoading	Erro ao carregar janela do grupo:`n`n"~1~"
lDialogGroupManageAbout	Sobre Grupos
lDialogGroupManageCannotSave	Aviso: Não há nenhuma pasta aberta para salvar em um novo grupo. Abra pelo menos uma janela do Explorer ou Directory Opus e tente salvar o novo grupo novamente.
lDialogGroupManageCreatingPrompt	Para criar um grupo, clicque no botão "~1~" e selecione o menu "~2~" a qualquer momento.
lDialogGroupManageCreatingTitle	Criar um grupo
lDialogGroupManageGroupsTitle	Gerenciar Grupos - ~1~ ~2~
lDialogGroupManageIntro	Com "Grupos", você pode salvar e restaurar o seu espaço de trabalho para de maneira eficiente alternar entre suas sessões de trabalho. Os "Grupos" lembram da pasta, tamanho, posição e estado (normal, minimizado ou maximizado) das janelas do Windows Explorer e Directory Opus (Total Commander não suportado ainda).
lDialogGroupManageManagingTitle	Gerenciar Grupos
lDialogGroupNew	Salvar novo grupo
lDialogGroupDeleteTitle	Excluir grupo - ~1~
lDialogGroups	Grupos
lDialogGroupSelect	Selecione um grupo
lDialogGroupSelectError	Por favor, selecione o grupo para ~1~.
lDialogIcon	Ícone
lDialogInvalidHotkey	Com o layout de teclado atual do sistema, a tecla de atalho "~1~" não pode ser usada como disparador para o menu popup  (erro 'não é uma tecla válida').`n`nPor favor, abra as configurações do "~2~ pelo menu da Área de Notificação e clique em "Opções". Nesta caixa de diálogo, escolha outro atalho para "~3~".
lDialogMaximized	Maximizado
lDialogMenuNotMoveUnderItself	O menu "~1~" não pode ser movido abaixo de si mesmo
lDialogMinimized	Minimizado
lDialogMoveFavoritesTitle	Mover Favoritos - ~1~ ~2~
lDialogNormal	Normal
lDialogOpenThisMenu	Abrir este menu
lDialogRemoveMultipleFavorites	Deseja realmente remover favoritos do ~1~ ou submenus?
lDialogSave	Salvar
lDialogSelectItemToEdit	Por favor, selecione o item para editar.
lDialogSelectItemToRemove	Por favor, selecione o item para remover.
lDialogSpecialLabel	Pasta Especial
lDialogSubmenuLabel	Submenu
lDialogSubmenuNameEmpty	O nome do submenu está vazio. Por favor, escolha um nome.
lDialogSubmenuParentMenu	Menu pai do submenu
lDialogSubmenuShortName	Nome curto do submenu (para o menu)
lDialogTabNext	Próximo
lDialogThirdPartyDetected	O ~1~ detectou que o ~2~ está instalado no sistema.`n`nDeseja habilitar a integração do ~2~?
lDialogURLLabel	Link (URL)
lDialogURLShortName	Nome curto do link (para o menu)
lDialogWorkingDirLabel	Iniciar em
lDonateButton	Apoiar o Freeware!
lDonateCheckPrompt	Você está contente com o ~1~?`n`nO ~1~ não é somente GRATUITO, mas também LIVRE de publicidade desagradável ou adware, que você nunca sabe se carrega spyware ou malware.`n`nAté agora, por ~2~ vezes o ~1~ lhe ajudou no seu trabalho diário. Que tal apoiar este freeware agora?
lDonateCheckTitle	~1~ vezes! - ~2~
lDonateMenu	Apoiar o Freeware!
lDonatePlatformComment1	A maneira mais flexível é usando sua conta PayPal ou o seu cartão de crédito
lDonatePlatformComment2	Receba uma fatura oficial, se você precisar dele para ser reembolsado
lDonatePlatformName1	Usando Paypal
lDonatePlatformName2	Usando Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Apoie o desenvolvimento do ~1~!
lDonateText2	<a href="~1~">Por que apoiar o freeware?</a>
lDonateText3	... ou apoie o freeware de graça!
lDonateText4	Dê uma crítica favorável para o ~1~ em:
lDonateText5	Envie-me seu link
lDonateThankyou	Obrigado por apoiar o freeware!
lDonateTitle	Apoiar o freeware! - ~1~ ~2~
lGui2Close	Fechar
lGuiAbout	Sobre
lGuiAddFavorite	Adicionar
lGuiCancel	&Cancelar
lGuiClose	&Fechar
lGuiDonate	Suporte
lGuiDropFilesHelp	Ajuda Arrastar && Soltar
lGuiDropFilesIncentive	Você pode arrastar & soltar os seguintes tipos de favoritos`nna janela do ~1~:`n`n- ~2~`n- ~3~
lGuiEditFavorite	Editar
lGuiGroupClosing	Fechando janelas
lGuiGroupOf	de
lGuiGroupSaveAddWindowsLabel	Adicionar a janela existente
lGuiGroupSaved	Grupo "~1~" salvo.`n`nClique no menu "~2~" para carregar este grupo.
lGuiGroupSaveDeselectAll	Desmarcar Todos
lGuiGroupSaveEditPrompt	~1~ este grupo
lGuiGroupSaveEditTitle	~1~ um grupo de janelas - ~2~ ~3~
lGuiGroupSaveLvHeader	Caminho|Aplicativo|Estado da janela|Esquerda|Topo|Largura|Altura|Lado
lGuiGroupSaveNameEmpty	O nome do grupo esta vazio. Por favor, escolha um nome de grupo.
lGuiGroupSaveNewGroup	Novo grupo
lGuiGroupSaveReplaceGroup	O grupo "~1~" existe. Substituí-lo?
lGuiGroupSaveReplaceWindowsLabel	Substituir janelas existentes
lGuiGroupSaveRestoreOption	Ao restaurar este grupo:
lGuiGroupSaveSelect	Selecione as pastas para salvar neste grupo
lGuiGroupSaveSelectAll	Selecionar Tudo
lGuiGroupSaveSelectExisting	ou selecione um grupo existente para substituir:
lGuiGroupSaveShortName	Nome curto do grupo (para o menu)
lGuiHelp	Ajuda
lGuiHotkeysHelp	Ajuda de Atalhos para Favoritos
