lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ wird entwickelt von Jean Lalonde unter`nVerwendung der <a href="http://ahkscript.org/">AutoHotkey</a> Programmiersprache.`n`nDeutsche Übersetzung: Edgar ""Fast Edi"" Hoffmann`nFranzösische Übersetzung: Jean Lalonde`nEnglische Gegenleser: (Hilfe willkommen)`n`nIcons von: <a href="http://www.visualpharm.com">Visual Pharm</a>`nAutoHotkey_L v1.1 Sourcen: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Support unter <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	Über - ~1~ ~2~
lAppTagline	Springe sofort von einem Ordner zum Anderen
lButtonRemind	Erinnere mich
lDiagModeCaution	~1~ läuft im Diagnose-Modus.`n`nInformationen über die Anwendungsausführung werden in der Datei:`n~2~`n gesammelt`nEs wird nichts ohne Ihr Einverständnis versendet.`n`nWollen Sie den Diagnose-Modus beibehalten?
lDiagModeExit	~1~ gesammelte Diagnose-Informationen in Datei ~2~.
lDiagModeIntro	Schicken Sie diese Datei an ahk@jeanlalonde.ca mit einer Beschreibung der Situation, welche die Diagnose ausgelöst hat.
lDiagModeSee	Wollen Sie die Diagnosedatei sehen?
lDialogAdd	Hinzufügen
lDialogAddDialogAlready	Diese Dialogbox-Typ wird schon unterstützt.
lDialogAddDialogPrompt	Geben Sie den neuen Namen für die Dialogbox an`n(oder einen Teil des Namens):
lDialogAddDialogTitle	Dialogbox hinzufügen - ~1~ ~2~
lDialogAddEditFolderTitle	~1~ Ordner - ~2~ ~3~
lDialogAddFolderManuallyPrompt	Entschuldigung, der aktuelle Ordner kann in diesem Fenstertyp nicht ermittelt werden.`n`nWollen Sie es jetzt von Hand hinzufügen?
lDialogAddFolderManuallyTitle	Diesen Ordner hinzufügen - ~1~ ~2~
lDialogAddFolderSelect	Auswählen oder Erstellen des neuen Ordners:
lDialogBrowseButton	Durchsuchen
lDialogCancelButton	Abbrechen
lDialogCancelPrompt	Änderungen verwerfen?
lDialogCancelTitle	Abbrechen - ~1~ ~2~
lDialogEditDialogPrompt	Geben Sie den neuen Namen für die Dialogbox ein`n(oder einen Teil des Namens):
lDialogEditDialogTitle	Dialogbox bearbeiten - ~1~ ~2~
lDialogEditFolderPrompt	Geben Sie den Namen für diesen Ordner an:
lDialogEditFolderSelect	Auswählen oder Erstellen des neuen Ordners:
lDialogEditFolderTitle	Ordner bearbeiten - ~1~ ~2~
lDialogFolderLabel	Ordner
lDialogFolderLocationEmpty	Dieser Ort ist leer. Bitte wählen Sie einen Ort.
lDialogFolderNameEmpty	Der Name des Ordners ist leer. Bitte wählen Sie einen kurzen Namen.
lDialogFolderNameNoSeparator	Das Untermenü darf das reservierte Zeichen "~1~" nicht enthalten.
lDialogFolderNameNotNew	Der Name ~1~ wird bereits in diesem Menü verwendet. Bitte wählen Sie einen anderen Namen.
lDialogFolderParentMenu	Ordner Hauptmenü
lDialogFolderRemovePrompt	entfernen des Ordners "~1~"`nund ALL seines Inhalts (Ordner und Untermenüs)?
lDialogFolderShortName	Kurzname des Ordners für das Menü
lDialogInvalidHotkey	Mit dem derzeitigen Tastaturlayout kann das Tastenkürzel "~1~" nicht verwendet werden, um das Popup-Menü aufzurufen (kein gültiger Tasten Name).`n`nBitte öffnen Sie das "~2~ Einstellungen" aus dem Tray-Menü und klicken Sie auf "Optionen". Wählen Sie in diesem Dialog ein anderes Tastenkürzel für "~3~".
lDialogSave	Speichern
lDialogSelectItemToEdit	Bitte wählen Sie das zu bearbeitende Element.
lDialogSelectItemToRemove	Bitte wählen Sie das zu entfernende Element.
lDialogSubmenuLabel	Untermenü
lDialogSubmenuShortName	Kurzname des Untermenüs
lDonateButton	Unterstützen Sie Freeware!
lDonatePrompt	Sind Sie zufrieden mit ~1~?`n`n~1~ ist nicht nur kostenlos, sondern enthält auch keine Werbung, bei der Sie nie wissen, ob diese Spyware oder Schadsoftware enthält.`n`n~2~ mal bisher, hat Ihnen ~1~ bei der täglichen Arbeit geholfen. Wie wär's jetzt mit ein wenig Unterstützung für Freeware?
lDonateThankyou	Vielen Dank für die Unterstützung von Freeware!
lDonateTitle	~1~ mal! - ~2~
lGui2Close	Schliessen
lGuiAbout	Über
lGuiAddDialog	Hinzufügen
lGuiAddFolder	Hinzufügen
lGuiCancel	&Abbrechen
lGuiClose	&Schliessen
lGuiEditFolder	Bearbeiten
lGuiHelp	Hilfe
lGuiLvDialogsHeader	Unterstützte Dialoge`n(Teile der Namen)
lGuiLvFoldersHeader	Name|Pfad
lGuiMoveFolderDown	Nach u&nten bewegen
lGuiMoveFolderUp	Nach o&ben bewegen
lGuiOptions	Optionen
lGuiRemoveFolder	Entfernen
lGuiSave	&Speichern
lGuiSeparator	Se&parator
lGuiSubmenuDropdownLabel	Zu bearbeitendes Menü:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Einstellungen - ~1~ ~2~
lHelpText1	Beim Start platziert FoldersPopup ein Symbol im System Tray und wartet auf Arbeit. Wenn Sie im Explorer oder einer Dateiauswahlbox den Ordner wechseln müssen, klicken Sie einfach mit der mittleren Maustaste oder drücken Sie Win+K und wählen Sie im erscheinenden Popup-Menü den gewünschten Ordner. FoldersPopup bringt Sie ohne Umwege direkt dorthin!
lHelpText2	Wählen Sie Einstellungen, um das Einstellungsmenü von FoldersPopup aufzurufen. Hier können Sie Ordner zum Menü hinzufügen, löschen, verschieben oder umbenennen. Klicken Sie Speichern um die Änderungen zu sichern.
lHelpText3	Sie können sehr schnell Ordner zum Popup-Menü hinzufügen:`n1) Wechseln Sie in einen oft benutzten Ordner.`n2) Klicken Sie die mittlere Maustaste (oder Windows-K) und wählen Sie Diesen Ordner hinzufügen.`n3) Vergeben Sie einen kurzen Namen, klicken Sie OK und speichern Sie im Einstellungsfenster.
