lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	FoldersPopup est développé par Jean Lalonde`nsur la plateforme <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraduction allemande: Edgar ""Fast Edi"" Hoffmann`nTraduction française: Jean Lalonde`nRévision anglaise: (aide bienvenue)`n`nIcônes par: <a href="http://www.visualpharm.com">Visual Pharm</a>`nSources AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Gratuiciel.
lAboutText4	Soutien en ligne: <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	À propos - ~1~ ~2~
lAppTagline	Naviguez instantanément d'un dossier à l'autre
lButtonRemind	Rappelez-moi
lDiagModeCaution	~1~ roule en mode de diagnostique.`n`nDes renseignements à propos de l'exécution de cette application seront colligées dans le fichier:`n~2~`n`nAucune information ne sera transmise sans votre consentement.`n`nVoulez-vous rester en mode diagnostique?
lDiagModeExit	~1~ a colligé des renseignements à des fins de diagnostique dans le fichier ~2~.
lDiagModeIntro	Envoyez ce fichier à ahk@jeanlalonde.ca avec une description de la situation nécessitant un diasnostique.
lDiagModeSee	Voulez-vous consulter le fichier de diagnostique?
lDialogAdd	Ajouter
lDialogAddDialogAlready	Ce type de boîte de dialogue est déjà pris en charge.
lDialogAddDialogPrompt	Entrez le nom de la nouvelle boîte de dialogue`n(ou une partie du nom):
lDialogAddDialogTitle	Ajouter Boîte de dialogue - ~1~ ~2~
lDialogAddEditFolderTitle	~1~ un dossier - ~2~ ~3~
lDialogAddFolderManuallyPrompt	Désolé, nous ne pouvons détecter automatiquement le dossier actif dans ce type de fenêtre.`n`nVoulez-vous ajouter ce dossier manuellement?
lDialogAddFolderManuallyTitle	Ajouter un dossier - ~1~ ~2~
lDialogAddFolderSelect	Choisir ou créer un nouveau dossier:
lDialogBrowseButton	Parcourir
lDialogCancelButton	Annuler
lDialogCancelPrompt	Annuler les changements?
lDialogCancelTitle	Annuler - ~1~ ~2~
lDialogEditDialogPrompt	Entrez le nouveau nom de la boîte de dialogue`n(ou une partie du nom):
lDialogEditDialogTitle	Modifier Boîte de dialogue - ~1~ ~2~
lDialogEditFolderPrompt	Entrez le nom de ce dossier:
lDialogEditFolderSelect	Choisissez ou créez le nouveau dossier:
lDialogEditFolderTitle	Modifier un dossier - ~1~ ~2~
lDialogFolderLabel	Dossier
lDialogFolderLocationEmpty	L'emplacement est vide. Veuillez indiquer l'emplacement du dossier.
lDialogFolderNameEmpty	Le nom du dossier est vide. Veuillez indiquer un nom court pour ce dossier.
lDialogFolderNameNoSeparator	Le nom du sous-menu ne doit pas inclure le caractère réservé "~1~".
lDialogFolderNameNotNew	Le nom "~1~" est déjà présent dans ce menu. Veuillez choisir un nouveau nom.
lDialogFolderParentMenu	Menu contenant ce dossier
lDialogFolderRemovePrompt	Supprimer le dossier "~1~"`net TOUT son contenu (dossiers et sous-menus)?
lDialogFolderRemoveTitle	Supprimer un dossier - ~1~
lDialogFolderShortName	Nom court du dossier pour les menus
lDialogInvalidHotkey	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée comme un déclencheur pour le menu popup.`n`nVeuillez ouvrir la fenêtre "Paramètres de Folders Popup" dans la zone de notification et cliquez sur "Options". Dans cette boîte de dialogue, choisissez une autre touche de raccourci pour "~2~".
lDialogSave	Enregistrer
lDialogSelectItemToEdit	Veuillez sélectionner l'item à modifier.
lDialogSelectItemToRemove	Veuillez sélectionner l'item à supprimer.
lDialogSubmenuLabel	Sous-menu
lDialogSubmenuShortName	Nom court du sous-menu
lDonateButton	Soutenez ce gratuiciel!
lDonatePrompt	Vous aimez ~1~?`n`n~1~ n'est pas seulement GRATUIT mais aussi distribué SANS ces attrapes publicitaires dont on ne sait jamais si elles transportent des virus ou encore des logiciels espions ou malveillants.`n`nCela fait maintenant ~2~ fois que ~1~ est appelé pour faciliter votre travail quotidien. Que diriez-vous de soutenir ce gratuiciel à votre tour?
lDonateThankyou	Merci pour cette marque d'appréciation!
lDonateTitle	~1~ fois! - ~2~
lGui2Close	Fermer
lGuiAbout	À propos
lGuiAddDialog	Ajouter
lGuiAddFolder	Ajouter
lGuiCancel	Annuler
lGuiClose	Fermer
lGuiEditFolder	Modifier
lGuiHelp	Aide
lGuiLvDialogsHeader	Boîtes de dialogue prises en charge`n(une partie du nom suffit)
lGuiLvFoldersHeader	Nom|Emplacement
lGuiMoveFolderDown	En bas
lGuiMoveFolderUp	En haut
lGuiOptions	Options
lGuiRemoveFolder	Supprimer
lGuiSave	Enregistrer
lGuiSeparator	Séparation
lGuiSubmenuDropdownLabel	Menu à modifier:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Paramètres - ~1~ ~2~
lHelpText1	At its launch, FoldersPopup add an icon in the System Tray and await your orders. When you need to change folder in Windows Explorer or in a file dialog box, just click the Middle mouse button or press Windows-K and, in the popup menu, select the desired folder. FoldersPopup will take you there this instantly!
lHelpText2	Choose "Settings" to open the FoldersPopup settings window where you can add folders to your menu, delete, move or rename them. You can add sub-menus and delete, move or rename them as well. Choose the "Menu to edit:" in the  dropdown list. Click "Save" to save your changes.
lHelpText3	You can quickly add new folders to the popup menu:`n1) Go to a frequently used folder.`n2) Click the Middle mouse button (or press Windows-K) and choose "Add This Folder".`n3) Give the folder a short name, click "OK" and "Save" in the settings window.`nThis new folder is saved in the main menu. Edit the folder to move it to another sub-menu.
lHelpText4	By default, FoldersPopup supports regular dialog boxes (Open, Save, etc.). You can easily teach FoldersPopup to recognize other types of dialog box:`n1) When you are in an unsupported dialog box, click the Middle mouse button (or press Windows-K) and choose "Add this dialog to the supported list".`n2 ) Click "OK" and "Save" in the settings window.
lHelpText5	TIPS AND TRICKS`n- In the Tray menu, check the "Run at Startup" option to launch FoldersPopup automatically at startup.`n- Need to open a favorite folder in a New Explorer window? Just press Shift-Middle mouse button (or Shift-Windows-K). This also allow you to open a favorite folder from any application.`n- Configure your popup menu triggers: choose your preferred mouse buttons or keyboard shortcuts in "Settings, Options".`n- Also in "Options": choose your preferred language, select to display recent folders, add numeric keyboard shortcuts to the folders menu or pin the popup menu at a fix position.
lHelpText6	Support on FoldersPopup is available at <a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a>.
lHelpText7	~1~ Jean Lalonde 2013-2014. Freeware.
lHelpTextLead	FoldersPopup lets you move like a breeze between your frequently used folders!
lHelpTitle	Help - ~1~ ~2~
lMainMenuName	Principal
lMenuAbout	À propos
lMenuAddThisDialog	Prendre en charge ce type de boîte de dialogue
lMenuAddThisFolder	Ajouter ce dossier au menu
lMenuControlPanel	Panneau de configuration
lMenuDesktop	Bureau
lMenuDialogNotSupported	Ce type de boîte de dialogue n'est pas encore pris en charge
lMenuDocuments	Documents
lMenuHelp	Aide
lMenuMyComputer	Ordinateur
lMenuNetworkNeighborhood	Réseau
lMenuPictures	Images
lMenuRecentFolders	Emplacements récents
lMenuRecycleBin	Corbeille
lMenuReservedShortcuts	###AP
lMenuReservedShortcutsRecent	###R
lMenuReservedShortcutsSpecial	###S
lMenuReservedShortcutsSwitch	###WI
lMenuRunAtStartup	Exécuter au démarrage
lMenuSeparator	----------------
lMenuSettings	Paramètres de Folders Popup
lMenuSpecialFolders	Dossiers spéciaux
lMenuSwitchDialog	Basculer dans cette boîte de dialogue
lMenuSwitchExplorer	Basculer vers l'Explorateur
lMenuUpdate	Mettre à jour
lNavigateFileError	Une erreur s'est produite lors de l'ouverture du dossier:`n~1~.
lNavigateSpecialError	Une erreur s'est produite lors de l'ouverture du dossier spécial #~1~.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Choisissez le bouton de la SOURIS et la touche de combinaison qui ouvrira le menu popup dans l'Explorateur de fichier de Windows ou dans des boîtes de dialogue de fichier. Par défaut, il s'agit du bouton du milieu de la souris (MButton) sans touche de modification.
lOptionsArrDescriptions2	Choisissez le bouton de la SOURIS et la touche de combinaison qui ouvrira le menu popup dans N'IMPORTE QUELLE fenêtre et ouvrira le dossier sélectionné dans une NOUVELLE fenêtre de l'Explorateur de fichiers. Par défaut, il s'agit du bouton du milieu de la souris (MButton) avec la touche de modification Maj (Shift).
lOptionsArrDescriptions3	Choisissez la combinaison de touches du CLAVIER qui ouvrira le menu popup dans l'Explorateur de fichier de Windows ou dans des boîtes de dialogue de fichier. Par défaut, il s'agit de la combinaisons Win-K (la lettre K pendant que la touche Windows est pressée).
lOptionsArrDescriptions4	Choisissez la combinaison de touches du CLAVIER qui ouvrira le menu popup dans N'IMPORTE QUELLE fenêtre et ouvrira le dossier sélectionné dans une NOUVELLE fenêtre de l'Explorateur de fichiers. Par défaut, il s'agit de la combinaisons Maj-Win-K (la lettre K pendant que les touches Windows et Maj sont presséee).
lOptionsArrDescriptions5	Choisissez la combinaison de touches du clavier ou le bouton de la souris qui ouvrira la boîte de dialogue Paramètres de Folders Popup. Par défaut, il s'agit de Maj+Windows+F.
lOptionsChangeHotkey	Modifier
lOptionsChangeHotkeyTitle	Modification de déclencheur - ~1~ ~2~
lOptionsCtrl	Ctrl
lOptionsDisplayMenuShortcuts	Afficher les raccourcis numériques
lOptionsDisplayRecentFolders	Afficher les emplacements récents
lOptionsDisplaySpecialFolders	Afficher les dossiers spéciaux
lOptionsDisplaySwitchMenu	Afficher le menu Basculer
lOptionsGuiIntro	Choisisr les boutons de la souris et les raccourcis du clavier déclenchant ~1~.
lOptionsGuiTitle	Options - ~1~ ~2~
lOptionsKeyboard	Clavier
lOptionsLanguage	Langue
lOptionsLanguageLabels	Anglais|Français|Allemand
lOptionsMouse	Souris
lOptionsNoKeyOrMouseSpecified	Aucune touche du clavier ou bouton de la souris n'a été sélectionné. La sélection actuelle ~1~ est inchangée.
lOptionsOtherOptions	Autres options
lOptionsPopupFix	Menu popup à une position fixe
lOptionsPopupFixPositionX	Position X:
lOptionsPopupFixPositionY	Y:
lOptionsRunAtStartup	Exécuter au démarrage
lOptionsShift	Maj
lOptionsTitles	Souris - Popup|Souris - Nouvel explorateur|Keyboard - Popup|Keyboard - Nouvel explorateur|Paramètres
lOptionsTrayTip	Afficher la notification au démarrage
lOptionsTriggerFor	Déclencheur pour:
lOptionsWin	Win
lReloadPrompt	Changement de langue enregistré: ~1~. Voulez-vous relancer ~2~ en ~1~ maintenant? Les changements non sauvegardés dans le menu des dossiers seront perdus.
lTrayTipInstalledDetail	Pour afficher le menu de ~1~, appuyez sur:`n`n~2~ / ~3~`ndans un Explorateur de fichiersou dans une boîte de dialogue`n`n~4~ / ~5~`npour ouvrir un nouvel Explorateur
lTrayTipinstalledTitle	~1~ ~2~ est prêt!
lUpdatePrompt	Mettre à jour ~1~ de la version v~2~ à la version v~3~?
lUpdateTitle	Mettre à jour ~1~?
lUpdateYouHaveLatest	Vous avez la version la plus récente: ~1~.`n`nVisiter la page web de ~2~ quand même?
